1	185.65	112.20	0.00	936.00	163.00
2	62.97	47.35	0.00	592.00	234.00
3	174.00	108.00	0.00	937.00	421.00
4	134.56	79.75	0.00	796.00	472.00
5	171.94	105.02	0.00	956.00	130.00
6	80.91	52.33	0.00	494.00	1062.00
7	151.00	67.00	0.00	825.00	240.00
8	67.10	42.36	0.00	584.00	263.00
9	59.56	57.31	0.00	589.00	251.00
10	149.93	77.25	0.00	800.00	492.00
11	153.00	108.00	0.00	953.00	115.00
12	66.78	48.59	0.00	504.00	895.00
13	183.00	118.00	0.00	895.00	670.00
14	48.59	72.24	0.00	525.00	713.00
15	127.09	76.01	0.00	833.00	79.00
16	173.00	110.00	0.00	934.00	223.00
17	180.87	123.35	0.00	903.00	594.00
18	66.33	52.33	0.00	524.00	689.00
